Age,Gender,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,age_range
19,0,0,0,1,2,4,0,1,2,1,1,2,2,2,1,1,1,2,1,0,2,0,2
26,1,0,0,0,3,5,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2
14,1,0,0,0,3,4,0,1,1,0,1,1,0,1,1,1,2,2,2,2,1,0,1
13,1,1,1,1,2,2,0,1,1,2,1,1,1,1,2,2,1,0,0,0,1,1,1
13,1,1,0,0,1,1,1,1,2,0,0,0,0,0,1,1,1,2,2,2,0,0,1
15,1,1,1,0,4,4,0,1,2,1,1,0,0,0,1,1,2,2,1,0,0,0,1
17,0,1,1,1,4,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1
21,1,1,0,0,1,0,1,1,1,2,1,1,2,0,1,1,0,0,1,1,1,0,2
24,0,0,1,1,4,1,0,1,2,2,1,1,1,3,0,1,2,2,1,0,1,0,2
5,1,1,0,0,1,2,0,1,0,0,0,0,0,0,1,1,2,2,0,0,2,0,1
13,1,1,0,1,4,4,1,1,0,0,1,1,0,0,1,1,1,2,1,1,0,0,1
11,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,2,2,2,2,0,0,1
24,0,1,1,1,4,2,0,0,2,2,1,1,0,1,2,2,2,2,0,0,1,1,2
18,1,0,1,0,1,3,0,1,0,1,1,0,0,0,1,1,2,2,1,1,0,0,2
9,1,0,0,0,1,4,0,1,0,1,0,0,0,2,1,1,1,1,0,2,2,0,1
11,0,1,1,1,3,2,0,1,2,1,1,1,0,2,1,1,2,1,0,0,0,0,1
5,1,0,0,1,4,2,1,1,0,0,0,0,0,4,0,1,1,0,0,0,1,0,1
14,1,0,0,1,4,4,0,1,2,2,1,0,0,0,0,1,1,2,1,1,1,0,1
28,1,1,1,0,4,0,1,1,2,1,2,0,2,4,1,1,2,2,1,2,2,1,2
18,1,1,1,0,0,4,1,1,1,0,2,1,2,2,1,1,1,1,0,0,0,0,2
11,1,0,1,1,4,1,0,1,2,2,1,1,1,1,0,1,1,1,1,1,1,0,1
13,1,1,0,0,1,0,1,1,1,0,1,1,2,1,1,1,1,1,1,0,2,0,1
28,1,0,0,1,2,2,1,1,2,2,1,1,0,0,0,1,1,2,1,0,1,0,2
23,1,0,0,1,1,5,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,2
15,1,0,1,1,3,2,0,1,2,1,0,2,2,0,1,1,2,2,1,2,0,0,1
17,1,0,1,1,4,5,0,0,2,2,1,0,1,4,2,1,1,2,1,2,1,0,1
15,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1
17,0,0,1,1,3,4,1,1,2,2,0,0,0,0,1,1,2,2,0,0,2,0,1
16,1,0,0,1,4,2,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1
19,1,0,0,0,4,4,0,1,1,0,1,1,0,3,2,0,1,0,1,0,1,0,2
14,1,0,0,0,1,4,1,1,1,0,1,1,0,0,2,2,1,1,1,0,1,0,1
13,1,1,1,0,3,0,1,1,1,2,1,1,0,1,2,1,0,0,1,1,1,1,1
12,1,0,1,1,4,3,1,1,0,0,1,1,2,2,0,1,1,2,1,2,0,0,1
24,1,0,1,1,4,2,1,1,2,2,2,2,2,4,0,1,1,1,0,2,0,0,2
22,0,0,0,1,4,0,0,1,2,2,1,1,0,0,0,1,1,0,1,0,2,0,2
9,1,0,0,1,3,4,0,1,1,2,1,1,0,4,1,1,2,2,0,0,0,0,1
11,1,0,0,0,3,0,0,1,1,0,1,1,0,4,2,0,1,0,1,1,0,0,1
20,1,0,0,0,0,1,0,1,1,2,1,1,0,2,0,1,1,1,1,0,1,0,2
32,1,0,0,0,0,1,0,1,2,2,1,0,0,0,1,1,1,2,1,0,0,0,2
17,1,0,0,1,3,5,1,1,2,2,1,2,2,4,1,1,2,2,0,0,2,0,1
6,1,0,0,1,4,4,0,1,1,0,1,1,0,0,0,0,1,0,1,2,1,1,1
17,1,0,0,0,0,5,1,1,2,1,0,2,0,1,2,2,1,0,1,0,0,0,1
9,1,0,1,1,4,0,0,1,1,2,1,1,2,3,0,1,1,0,1,1,2,0,1
0,1,0,0,0,2,4,0,1,1,1,1,1,0,1,2,0,0,1,1,1,1,0,0
12,1,0,0,1,4,2,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1
20,0,0,1,1,4,2,0,1,2,2,1,2,2,2,1,1,1,2,1,1,2,0,2
10,1,0,0,0,0,2,0,1,0,1,1,1,0,0,1,0,1,2,0,2,0,0,1
16,1,0,0,0,0,4,0,1,1,0,1,1,0,0,1,1,2,2,0,2,0,0,1
8,1,1,0,0,4,0,0,1,1,2,2,1,0,0,1,1,2,2,1,1,2,0,1
12,1,0,1,1,3,2,0,1,2,0,1,0,0,0,0,1,1,2,1,1,0,0,1
4,1,0,1,1,2,4,0,1,1,2,1,1,2,3,0,1,0,0,1,0,0,0,1
15,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,2,0,0,0,0,1
13,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
14,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,2,1,1,0,0,1
10,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1
9,1,0,1,1,3,2,0,1,2,2,1,1,2,0,0,1,0,0,1,1,0,0,1
14,1,0,1,0,0,4,1,1,0,0,1,1,0,2,1,1,2,2,1,1,2,0,1
6,1,0,1,1,4,2,1,1,0,0,1,1,0,0,1,0,1,2,2,2,1,0,1
8,1,0,0,0,0,2,0,0,1,0,1,1,2,2,1,1,1,2,0,2,0,0,1
15,1,0,1,1,2,4,1,1,0,0,1,1,1,1,2,1,0,0,1,0,0,0,1
26,1,0,1,1,4,5,0,0,2,0,1,0,0,0,2,0,1,0,1,0,0,1,2
8,0,0,0,1,4,2,1,1,0,1,2,2,2,4,1,1,2,2,0,2,2,0,1
9,1,0,0,0,1,1,0,1,2,1,1,2,0,2,1,1,2,2,0,0,2,0,1
8,1,0,0,0,0,2,0,1,1,0,1,1,0,4,2,1,0,0,1,1,1,1,1
17,1,0,0,0,4,4,0,1,0,0,1,1,0,2,1,1,1,2,1,0,0,0,1
22,1,0,1,0,4,5,1,1,2,2,2,2,0,0,2,0,1,0,1,1,1,1,2
5,0,0,1,1,2,0,1,1,1,1,1,1,0,4,1,1,1,2,1,0,2,0,1
18,1,0,0,0,4,1,1,1,2,0,0,2,0,0,0,1,1,1,0,2,2,0,2
13,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
16,1,1,0,0,3,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1
10,1,0,0,0,1,2,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1
16,1,0,0,0,1,4,0,1,0,1,0,0,0,2,1,1,1,2,1,1,0,0,1
