,Cramér's V
work_interfere,0.6869160845677403
family_history,0.3750832213367982
care_options,0.27282759229105724
benefits,0.22551109408963627
Gender,0.198666358076997
Age,0.18195262421283553
leave,0.154503669616044
obs_consequence,0.1517471801640224
anonymity,0.142990728657927
mental_health_consequence,0.1313480306033576
mental_vs_physical,0.1177630081185713
mental_health_interview,0.09826060744143815
wellness_program,0.09300301288653133
seek_help,0.09061133880538334
no_employees,0.08157453058952539
age_range,0.07179648171239013
coworkers,0.06642056752682404
phys_health_interview,0.04952931537308209
phys_health_consequence,0.04723308182839643
supervisor,0.038918948001464226
tech_company,0.030230731793534065
remote_work,0.022852827830575524
self_employed,0.015615998340921214
