Feature,Coefficient,AbsCoefficient
family_history,1.0079042005499295,1.0079042005499295
work_interfere,0.8884382221847797,0.8884382221847797
coworkers,0.40331539183091725,0.40331539183091725
benefits,0.3832039522379889,0.3832039522379889
Gender,-0.3276496576808249,0.3276496576808249
care_options,0.24668213575199704,0.24668213575199704
obs_consequence,0.24516721269514025,0.24516721269514025
seek_help,-0.2434731070638626,0.2434731070638626
anonymity,0.217519746250389,0.217519746250389
tech_company,-0.21160244601229744,0.21160244601229744
self_employed,-0.1498032335361938,0.1498032335361938
mental_health_interview,0.14460495757001723,0.14460495757001723
supervisor,-0.13306442914312297,0.13306442914312297
phys_health_interview,0.09776362890756599,0.09776362890756599
wellness_program,0.0717609100899427,0.0717609100899427
phys_health_consequence,-0.05107316195527218,0.05107316195527218
no_employees,-0.03690041912954144,0.03690041912954144
mental_vs_physical,-0.03152523776726418,0.03152523776726418
remote_work,0.025500482997194877,0.025500482997194877
mental_health_consequence,0.022446925451771117,0.022446925451771117
leave,-0.01627636937764146,0.01627636937764146
age_range,-0.014299930915920227,0.014299930915920227
Age,0.01349174247431214,0.01349174247431214
